date,season,weekday,weathersit,temperature,windspeed,totalRental,casual,registered,month,holiday
2012-11-25,winter,Sun,Clear,12.87915,0.1505,2424,309,2115,Nov,0
2012-11-26,winter,Mon,Clear,16.9502,0.04665,5087,337,4750,Nov,0
2012-11-27,winter,Tue,Mist,14.0779,0.237562,3959,123,3836,Nov,0
2012-11-28,winter,Wed,Clear,14.4881,0.210821,5260,198,5062,Nov,0
2012-11-29,winter,Thu,Clear,14.9211,0.115522,5323,243,5080,Nov,0
2012-11-30,winter,Fri,Clear,16.19335,0.0584708,5668,362,5306,Nov,0
2012-12-01,winter,Sat,Mist,15.8452,0.0597042,5191,951,4240,Dec,0
2012-12-02,winter,Sun,Mist,17.9604,0.124379,4649,892,3757,Dec,0
2012-12-03,winter,Mon,Clear,22.7898,0.0827208,6234,555,5679,Dec,0
2012-12-04,winter,Tue,Clear,23.4527,0.174129,6606,551,6055,Dec,0
2012-12-05,winter,Wed,Clear,21.4006,0.324021,5729,331,5398,Dec,0
2012-12-06,winter,Thu,Clear,12.9102,0.174754,5375,340,5035,Dec,0
2012-12-07,winter,Fri,Mist,16.0979,0.1306,5008,349,4659,Dec,0
2012-12-08,winter,Sat,Mist,19.4754,0.101379,5582,1153,4429,Dec,0
2012-12-09,winter,Sun,Mist,19.5073,0.157975,3228,441,2787,Dec,0
2012-12-10,winter,Mon,Mist,21.77875,0.190308,5170,329,4841,Dec,0
2012-12-11,winter,Tue,Mist,16.91815,0.296037,5501,282,5219,Dec,0
2012-12-12,winter,Wed,Mist,14.8669,0.162937,5319,310,5009,Dec,0
2012-12-13,winter,Thu,Clear,14.7094,0.174129,5532,425,5107,Dec,0
2012-12-14,winter,Fri,Clear,14.7096,0.131229,5611,429,5182,Dec,0
2012-12-15,winter,Sat,Clear,16.91915,0.10635,5047,767,4280,Dec,0
2012-12-16,winter,Sun,Mist,18.4969,0.100742,3786,538,3248,Dec,0
2012-12-17,winter,Mon,Mist,20.075,0.0982583,4585,212,4373,Dec,0
2012-12-18,winter,Tue,Clear,20.4854,0.221404,5557,433,5124,Dec,0
2012-12-19,winter,Wed,Clear,17.1081,0.184092,5267,333,4934,Dec,0
2012-12-20,winter,Thu,Mist,16.76085,0.132463,4128,314,3814,Dec,0
2012-12-21,springer,Fri,Mist,15.08835,0.374383,3623,221,3402,Dec,0
2012-12-22,springer,Sat,Clear,11.80565,0.407346,1749,205,1544,Dec,0
2012-12-23,springer,Sun,Clear,12.97355,0.133083,1787,408,1379,Dec,0
2012-12-24,springer,Mon,Mist,12.945,0.0772304,920,174,746,Dec,0
2012-12-25,springer,Tue,Mist,14.72325,0.168726,1013,440,573,Dec,1
2012-12-26,springer,Wed,Rain,11.01665,0.316546,441,9,432,Dec,0
2012-12-27,springer,Thu,Mist,11.3321,0.350133,2114,247,1867,Dec,0
2012-12-28,springer,Fri,Mist,12.7523,0.155471,3095,644,2451,Dec,0
2012-12-29,springer,Sat,Mist,12.12,0.124383,1341,159,1182,Dec,0
2012-12-30,springer,Sun,Clear,11.585,0.350754,1796,364,1432,Dec,0
2012-12-31,springer,Mon,Mist,11.17435,0.154846,2729,439,2290,Dec,0
